neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,availability_365,number_of_reviews_ltm
Ratchathewi,13.75983,100.54134,1905,3,65,2020-01-06,353,0
Bang Na,13.66818,100.61674,1316,1,0,,358,0
Bang Kapi,13.75232,100.62402,800,60,0,,365,0
Din Daeng,13.78823,100.57256,1286,7,2,2022-04-01,323,1
Bang Kapi,13.76872,100.63338,1905,1,0,,365,0
Rat Burana,13.68556,100.49535,1558,3,1,2014-02-03,365,0
Chatu Chak,13.82925,100.56737,1461,1,0,,365,0
Chatu Chak,13.81693,100.56433,1558,3,10,2016-03-29,365,0
Khlong San,13.7204,100.50757,700,2,4,2019-12-27,87,0
Bang Rak,13.71934,100.5176,1150,2,27,2019-01-03,320,0
Phaya Thai,13.77486,100.54272,1893,15,129,2022-09-30,356,1
Sathon,13.71802,100.51539,1862,2,208,2019-12-02,361,0
Din Daeng,13.77941,100.57383,910,2,3,2018-07-30,365,0
Khlong Toei,13.71516,100.56806,1400,30,0,,365,0
Phaya Thai,13.79152,100.53982,4156,1,0,,365,0
Khlong Toei,13.70719,100.59936,1577,30,78,2019-05-31,330,0
Khlong Toei,13.73378,100.56303,5680,28,148,2020-01-07,334,0
Vadhana,13.74668,100.56137,5034,21,287,2022-11-22,349,3
Sai Mai,13.9077,100.64473,1500,1,0,,365,0
Rat Burana,13.68568,100.49231,1385,30,0,,365,0
Vadhana,13.74444,100.57003,3775,30,3,2018-12-24,364,0
Khlong Toei,13.72097,100.57823,2078,60,83,2018-09-12,55,0
Khlong Toei,13.70441,100.59968,1732,2,3,2013-10-09,364,0
Ratchathewi,13.75351,100.53308,2000,27,76,2018-04-05,263,0
Ratchathewi,13.7547,100.53268,3082,1,0,,365,0
Bang Kapi,13.76747,100.63287,1190,1,0,,365,0
Lat Krabang,13.721868,100.771713,1329,1,28,2022-11-25,349,13
Bangkok Yai,13.73292,100.46413,2078,1,76,2019-12-31,350,0
Bang Rak,13.7285,100.52313,1176,7,63,2022-11-25,95,2
Wang Thong Lang,13.78938,100.6134,600,1,0,,365,0
Vadhana,13.74293,100.55603,1659,3,212,2022-12-08,207,7
Phaya Thai,13.77931,100.54262,1400,15,90,2022-11-15,336,2
Sathon,13.72291,100.53759,5429,2,3,2018-12-18,174,0
Bang Rak,13.72733,100.52555,1843,7,71,2022-11-30,156,5
Huai Khwang,13.78118,100.58349,1316,1,0,,365,0
Vadhana,13.73224,100.57803,1870,4,5,2019-11-10,331,0
Vadhana,13.7137,100.59637,1300,30,7,2018-12-18,365,0
Sathon,13.72062,100.54707,1200,1,419,2022-12-07,355,1
Sathon,13.71803,100.54654,3500,3,0,,363,0
Phasi Charoen,13.73122,100.46228,1795,1,95,2022-12-15,339,10
Bang Sue,13.83148,100.52102,1000,3,21,2019-02-20,145,0
Chatu Chak,13.82148,100.58326,350,30,0,,365,0
Sathon,13.72073,100.5469,1450,1,268,2022-12-15,350,7
Sathon,13.72063,100.54694,1200,1,310,2022-12-11,331,9
Nong Chok,13.779,100.83671,8658,1,0,,363,0
Sathon,13.72096,100.52911,3757,2,118,2022-11-30,134,12
Khlong Toei,13.73782,100.55179,1490,5,11,2018-07-02,16,0
Phra Khanong,13.70169,100.5977,2251,3,0,,365,0
Sathon,13.71192,100.51535,866,2,472,2022-12-15,320,29
Sathon,13.71602,100.52663,2696,1,0,,356,0
Sathon,13.71798,100.52841,1736,1,4,2014-11-12,356,0
Thawi Watthana,13.79274,100.33377,1800,2,1,2022-10-25,242,1
Thawi Watthana,13.79315,100.33356,1800,2,0,,256,0
Lat Krabang,13.72141,100.72946,1558,1,43,2020-03-03,365,0
Khlong Toei,13.71513,100.5683,2226,1,0,,364,0
Bang Kho laen,13.69947,100.52726,890,2,29,2022-12-18,59,4
Bang Na,13.67998,100.61074,1500,29,0,,365,0
Khlong Toei,13.7281,100.57318,1732,30,67,2022-09-20,167,1
Pra Wet,13.70004,100.6787,3394,5,3,2022-11-28,180,2
Bang Na,13.67991,100.61055,922,14,170,2022-12-05,219,5
Khlong San,13.72214,100.50752,350,1,12,2020-02-08,87,0
Sathon,13.71498,100.53312,1543,1,40,2022-12-09,149,10
Bang Rak,13.72825,100.53774,1589,1,36,2022-09-01,176,1
Chatu Chak,13.81694,100.56451,1271,1,293,2022-12-06,129,19
Sathon,13.72062,100.54707,800,1,396,2020-04-30,361,0
Rat Burana,13.68426,100.49841,1558,1,0,,365,0
Khlong San,13.71905,100.50414,1747,30,80,2020-01-28,330,0
Khlong Toei,13.74052,100.55237,797,1,189,2022-11-28,230,13
Vadhana,13.71012,100.60281,6926,1,1,2019-01-13,364,0
Huai Khwang,13.75224,100.58979,1169,15,0,,180,0
Phra Nakhon,13.75135,100.49447,5195,1,0,,365,0
Sathon,13.72062,100.54707,829,1,430,2022-10-01,334,10
Sathon,13.71782,100.51622,950,1,39,2022-10-01,301,2
Vadhana,13.73816,100.56495,1400,28,32,2022-10-31,120,5
Vadhana,13.7104,100.60171,2355,30,19,2020-01-04,356,0
Bang Kho laen,13.69949,100.52725,980,2,18,2022-11-26,75,1
Sathon,13.72157,100.54509,330,1,82,2019-12-09,358,0
Vadhana,13.73675,100.57191,3740,7,18,2022-09-14,44,1
Phaya Thai,13.79128,100.54935,1000,5,29,2022-09-01,145,4
Thon buri,13.72646255738608,100.49129336748284,800,1,0,,365,0
Sathon,13.72062,100.54707,800,1,325,2020-03-14,358,0
Bang Kho laen,13.698,100.52886,790,1,127,2022-12-14,365,5
