dcode,dname,dname_e,pcode,pname,z_code,num_female,num_male,num_health,num_temple,num_comm,num_hos,num_sch,area_dis
1001,เขตพระนคร,Phra Nakhon,10,กรุงเทพมหานคร,1,21570,20076,2,22,19,0,11,5.536
1002,เขตดุสิต,Dusit,10,กรุงเทพมหานคร,1,36498,42104,2,17,43,0,9,10.665
1003,เขตหนองจอก,Nong Chok,10,กรุงเทพมหานคร,4,93256,88111,1,19,99,1,37,236.261
1004,เขตบางรัก,Bang Rak,10,กรุงเทพมหานคร,2,23298,20616,1,5,15,0,5,5.536
1005,เขตบางเขน,Bang Khen,10,กรุงเทพมหานคร,3,98701,86668,0,4,73,0,5,42.123
1006,เขตบางกะปิ,Bang Kapi,10,กรุงเทพมหานคร,4,77325,64164,1,5,27,0,11,28.523
1007,เขตปทุมวัน,Parthum Wan,10,กรุงเทพมหานคร,2,21649,19195,2,6,17,0,7,8.369
1008,เขตป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,10,กรุงเทพมหานคร,1,20116,19194,1,11,14,1,4,1.931
1009,เขตพระโขนง,Phra Khanong,10,กรุงเทพมหานคร,2,47573,38717,2,5,44,0,4,13.986
1010,เขตมีนบุรี,Min Buri,10,กรุงเทพมหานคร,4,74629,66401,1,6,63,0,13,63.645
1011,เขตลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,4,94015,84335,2,13,65,1,20,123.859
1012,เขตยานนาวา,Yan na wa,10,กรุงเทพมหานคร,2,39831,34283,2,9,17,0,6,16.662
1013,เขตสัมพันธวงศ์,Samphanthawong,10,กรุงเทพมหานคร,1,10384,9784,1,13,16,0,3,1.416
1014,เขตพญาไท,Phaya Thai,10,กรุงเทพมหานคร,1,33311,31964,1,1,22,0,1,9.595
1015,เขตธนบุรี,Thon buri,10,กรุงเทพมหานคร,5,53136,46455,3,25,42,0,17,8.551
1016,เขตบางกอกใหญ่,Bangkok Yai,10,กรุงเทพมหานคร,5,32845,28734,1,13,30,0,6,6.18
1017,เขตห้วยขวาง,Huai Khwang,10,กรุงเทพมหานคร,1,46224,37269,2,3,22,0,3,15.033
1018,เขตคลองสาน,Khlong San,10,กรุงเทพมหานคร,5,35768,30579,1,8,33,1,8,6.051
1019,เขตตลิ่งชัน,Taling Chan,10,กรุงเทพมหานคร,5,54357,47445,1,31,43,0,16,29.479
1020,เขตบางกอกน้อย,Bangkok Noi,10,กรุงเทพมหานคร,5,53004,46725,1,32,37,0,15,11.944
1021,เขตบางขุนเทียน,Bang Khun thain,10,กรุงเทพมหานคร,6,97954,86851,1,16,51,1,16,120.687
1022,เขตภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,6,65513,56557,2,27,51,0,13,17.834
1023,เขตหนองแขม,Nong Khaem,10,กรุงเทพมหานคร,6,83089,72154,1,8,71,1,6,35.825
1024,เขตราษฏร์บูรณะ,Rat Burana,10,กรุงเทพมหานคร,6,40187,36403,2,7,28,0,6,15.782
1025,เขตบางพลัด,Bang Phlat,10,กรุงเทพมหานคร,5,47809,39666,1,23,48,0,11,11.36
1026,เขตดินแดง,Din Daeng,10,กรุงเทพมหานคร,1,60186,50866,2,2,23,0,3,8.354
1027,เขตบึงกุ่ม,Bueng Kum,10,กรุงเทพมหานคร,4,75297,62753,2,5,37,0,8,24.311
1028,เขตสาทร,Sathon,10,กรุงเทพมหานคร,2,38311,34337,1,3,24,0,2,9.326
1029,เขตบางซื่อ,Bang Sue,10,กรุงเทพมหานคร,3,64248,55183,2,9,50,0,7,11.545
1030,เขตจตุจักร,Chatu Chak,10,กรุงเทพมหานคร,3,83110,70682,3,2,41,0,7,32.908
1031,เขตบางคอแหลม,Bang Kho laen,10,กรุงเทพมหานคร,2,41888,37207,3,11,28,1,7,10.921
1032,เขตประเวศ,Pra Wet,10,กรุงเทพมหานคร,4,97309,85675,1,6,45,1,16,52.49
1033,เขตคลองเตย,Khlong Toei,10,กรุงเทพมหานคร,2,47713,42733,2,4,40,0,4,12.994
1034,เขตสวนหลวง,Suanluang,10,กรุงเทพมหานคร,2,66779,55897,2,7,45,0,8,23.678
1035,เขตจอมทอง,Chom Thong,10,กรุงเทพมหานคร,5,75679,67651,1,18,48,0,11,26.265
1036,เขตดอนเมือง,Don Mueang,10,กรุงเทพมหานคร,3,83892,82397,1,7,96,0,6,36.803
1037,เขตราชเทวี,Ratchathewi,10,กรุงเทพมหานคร,1,34818,31461,1,4,25,0,4,7.126
1038,เขตลาดพร้าว,Lat Phrao,10,กรุงเทพมหานคร,3,62464,51811,1,4,36,0,6,22.157
1039,เขตวัฒนา,Vadhana,10,กรุงเทพมหานคร,2,43401,37429,1,2,16,0,8,12.565
1040,เขตบางแค,Bang Khae,10,กรุงเทพมหานคร,6,103221,89032,1,5,47,1,12,44.456
